Date,Team 1,Team 2,Venue (wrt Team 1),Predicted Spread,DK Line (Time of Bet),Closing Line,Actual Score,Units Risked,Error,Vegas Error,CLV,W/L,Payoff
1/24/2026,Weber St.,Montana St.,A,Montana St. -7.26,Weber St. +7.5 (-102),Weber St. +6.5,"91-88, Montana St.",0,4.26,3.5,1,WIN,0
1/24/2026,Northern Colorado,Northern Arizona,A,Northern Colorado -6.15,Northern Colorado -5.5 (-118),Northern Colorado -6,"81-77, Northern Arizona",0,10.15,10,0.5,LOSS,0
1/24/2026,North Dakota St.,Oral Roberts,A,North Dakota St. -9.19,North Dakota St. -8.5 (-118),North Dakota St. -7.5,"86-58, North Dakota St.",0,18.81,20.5,-1,WIN,0
1/24/2026,Nebraska Omaha,UMKC,A,Nebraska Omaha -3.42,UMKC +3.5 (-102),UMKC +4,"77-60, Nebraska Omaha",0,13.58,13,-0.5,LOSS,0
1/24/2026,Tennessee,Alabama,A,Alabama -4.86,Tennessee +5.5 (-112),Tennessee +4,"79-73, Tennessee",0,10.86,10,1.5,WIN,0
1/24/2026,Southern Utah,Utah Tech,A,Utah Tech -5.3,Southern Utah +6.5 (-108),Southern Utah +6,"102-91, Utah Tech",0,5.7,5,0.5,LOSS,0
1/24/2026,Santa Clara,San Diego,A,Santa Clara -12.52,San Diego +13.5 (-108),San Diego +13.5,"85-73, Santa Clara",0,0.52,1.5,0,WIN,0
1/24/2026,Cincinnati,Arizona St.,A,Cincinnati -1.84,Arizona St. +2.5 (-110),Arizona St. +3,"82-68, Arizona St.",0,15.84,17,-0.5,WIN,0
1/24/2026,UC Irvine,UC San Diego,A,UC San Diego -3.89,UC San Diego -2.5 (-115),UC San Diego -3,"61-59, UC Irvine",0,5.89,5,0.5,LOSS,0
1/24/2026,Cal St. Northridge,Hawaii,A,Hawaii -10.19,Hawaii -9.5 (-108),Hawaii -10.5,"89-68, Hawaii",0,10.81,10.5,1,WIN,0
1/25/2026,USC,Wisconsin,A,Wisconsin -8.63,Wisconsin -7.5 (-115),Wisconsin -7.5,"73-71, USC",0,10.63,9.5,0,LOSS,0
1/25/2026,Florida Atlantic,South Florida,A,South Florida -5.3,South Florida -4.5 (-118),South Florida -6,"89-75, South Florida ",0,8.7,8,1.5,WIN,0
1/25/2026,Oregon,Washington  ,A,Washington -4.89,Oregon +9.5 (-112),Oregon +8,"72-57, Washington",1,10.11,7,1.5,LOSS,-1
1/25/2026,Chicago St.,Mercyhurst,A,Meryhurst -13.08,Mercyhurst -9.5 (-115),Mercyhurst -9,"61-59, Mercyhurst",1,15.08,7,-0.5,LOSS,-1
1/26/2026,Le Moyne,Fairleigh Dickinson,A,Le Moyne -0.34,Fairleigh Dickinson +2.5 (-110),Fairleigh Dickinson +1,"87-74, Le Moyne",0,12.66,12,1.5,LOSS,0
1/26/2026,Louisville,Duke,A,Duke -3.97,Louisville +8.5 (-105),Louisville +8.5,"83-52, Duke",1,27.03,22.5,0,LOSS,-1
1/26/2026,Penn St.,Ohio St.,A,Ohio St. -11.76,Penn St. +12.5 (-112),Penn St. +12,"84-78, Ohio St.",0,5.76,6,0.5,WIN,0
1/26/2026,Central Connecticut,Stonehill,A,Stonehill -0.5,Stonehill +2.5 (-105),Stonehill +1.5,"61-59, Stonehill",1,1.5,3.5,1,WIN,0.952380952
1/26/2026,Jackson St.,Florida A&M,A,Florida A&M -9.95,Florida A&M -5.5 (-115),Florida A&M -6.5,"66-65, Jackson St.",1,10.95,7.5,1,LOSS,-1
1/26/2026,Alcorn St.,Bethune Cookman,A,Bethune Cookman -12.03,Alcorn St. +12.5 (-105),Alcorn St. +13.5,"82-73, Bethune Cookman",0,3.03,4.5,-1,WIN,0
1/26/2026,Morgan St.,Norfolk St.,A,Norfolk St. -8.3,Morgan St. +9.5 (-110),Morgan St. +7.5,"79-78, Morgan St.",0,9.3,8.5,2,WIN,0
1/26/2026,Delaware St.,South Carolina St.,A,Delaware St. -0.74,Delaware St. +1.5 (-112),Delaware St. +1.5,"70-64, South Carolina St.",0,6.74,4.5,0,LOSS,0
1/26/2026,UT Rio Grande Valley,Texas A&M Corpus Chris,A,Texas A&M Corpus Chris -5.13,Texas A&M Corpus Chris -3.5 (-110),Texas A&M Corpus Chris -2.5,"64-55, UT Rio Grande Valley",0,14.13,11.5,-1,LOSS,0
1/26/2026,Arizona ,BYU,A,Arizona -3.7,Arizona -1.5 (-115),Arizona -1,"86-83, Arizona",0,0.7,2,-0.5,WIN,0
1/27/2026,Alabama St.,Texas Southern,A,Texas Southern -0.04,Alabama St. +1.5 (-112),Alabama St. +1.5,"96-64, Texas Southern",0,31.96,30.5,0,LOSS,0
1/27/2026,Alabama A&M,Prairie View A&M,A,Prairie View A&M -1.81,Prairie View A&M -1.5 (-115),Prairie View A&M -2,"80-60, Alabama A&M",0,21.81,22,0.5,LOSS,0
1/27/2026,Northwestern St.,Stephen F. Austin,A,Stephen F. Austin -18.65,Stephen F. Austin -14.5 (-112),Stephen F. Austin -14,"69-67, Stephen F. Austin",1,16.65,12,-0.5,LOSS,-1
1/27/2026,New Orleans,Nicholls St.,A,Nicholls St. -3.45,New Orleans +4.5 (-115),New Orleans +4.5,"80-62, New Orleans",0,21.45,22.5,0,WIN,0
1/27/2026,Wake Forest,Pittsburgh,A,Pittsburgh -1.47,Wake Forest +1.5 (-112),Wake Forest +1.5,"80-76, Pittsburgh",0,2.53,2.5,0,LOSS,0
1/27/2026,Michigan St.,Rutgers,A,Michigan St. -14.47,Rutgers +14.5 (-102),Rutgers +14.5,"88-79, Michigan St.",0,5.47,5.5,0,WIN,0
1/27/2026,Nebraska  ,Michigan,A,Michigan -9.92,Nebraska +10.5 (-110),Nebraska +12,"75-72, Michigan",0,6.92,9,-1.5,WIN,0
1/27/2026,Arkansas,Oklahoma  ,A,Arkansas -3.79,Arkansas -2.5 (-115),Arkansas -3,"83-79, Arkansas",0,0.21,1,0.5,WIN,0
1/27/2026,Arizona St.,UCF,A,UCF -6.24,Arizona St. +8.5 (-112),Arizona St. +7,"79-76, UCF",0,3.24,4,1.5,WIN,0
1/27/2026,Syracuse,N.C. State,A,N.C. State -7.83,Syracuse +10.5 (-108),Syracuse +10.5,"88-68, N.C. State",1,12.17,9.5,0,LOSS,-1
1/27/2026,Virginia  ,Notre Dame,A,Virginia -10.97,Virginia -9.5 (-118),Virginia -9.5,"100-97, Virginia",0,7.97,6.5,0,LOSS,0
1/27/2026,Rhode Island,Dayton,A,Dayton -6.28,Rhode Island +8.5 (-115),Rhode Island +9.5,"81-76, Rhode Island",0,11.28,14.5,-1,WIN,0
1/27/2026,Richmond,VCU,A,VCU -12.6,VCU -11.5 (-105),VCU -12.5,"77-69, VCU",0,4.6,4.5,1,LOSS,0
1/27/2026,Toledo,Akron,A,Akron -12.62,Akron -12.5 (-110),Akron -12.5,"91-81, Akron",0,2.62,2.5,0,LOSS,0
